n,name,audio,page_name,question,answer,verseText,verseLocation,album,vol
11,Where Do We Learn to Love and Obey God?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2011%20Where%20Do%20We%20Learn%20to%20Love%20and%20Obey%20God-.m4a,where_do_we_learn_to_love_and_obey_god,Where do we learn to love and obey God?,"In the Bible, we learn to love and obey God.","Keep this book of the Law always on your lips; meditate on it day and night, so that you may be careful to do everything written in it.",Joshua 1:8,The Word of God,4
12,Who Wrote the Bible?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2012%20Who%20Wrote%20the%20Bible-.m4a,who_wrote_the_bible,Who wrote the Bible?,"Holy men of God, who were taught and chosen by God, wrote the Bible.","So I will remind you always of these things, even though you know them, even though you're established in the truth you now have. Still, I'll always remind you of these things, for I know it is right to refresh your memory for as long as the tent of this body I'm in.;And you will do well to pay attention to it, as a light shining in the dark, until the day dawns and the morning star arises in your hearts. Men spoke from God as they were carried along by the Holy Spirit.",2 Peter 1:12-15;2 Peter 1:19-21,The Word of God,4
13,What's the Greatest Command?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2013%20What's%20the%20Greatest%20Command-.m4a,what's_the_greatest_command,What's the greatest command?,"Love the Lord your God with all your heart, soul, and mind; and the second is like it, love your neighbor as yourself.","Teacher, what's the greatest command?  ""Love the Lord your God with all your heart, soul, and mind. This is the great and first commandment. And the second is like it: ""You shall love your neighbor as yourself.""  This sums up the Ten Commandments.",Matthew 22:36,The Word of God,4
14,Is God Pleased With Those Who Love and Obey Him?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2014%20Is%20God%20Pleased%20with%20Those%20Who%20Love%20and%20Obey%20Him-.m4a,is_god_pleased_with_those_who_love_and_obey_him,Is God pleased with those who love and obey Him?,"Yes, He loves those who love Him.","I love those who love me, and those who seek me will find me.;He who has my commands and keeps them, it is he who loves me. He who loves me will be loved by my Father, and I will love him, and I will show myself to him.",Proverbs 8:17;John 14:21,The Word of God,4
15,Is God Displeased With Those Who Do Not Love and Obey Him?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2015%20Is%20God%20Displeased%20with%20Those%20Who%20Do%20Not%20Love%20and%20Obey%20Him-.m4a,is_god_displeased_with_those_who_do_not_love_and_obey_him,Is God displeased with those who do not love and obey Him?,"Yes, God is angry with the wicked every day.","O righteous God, on High, who searches minds and hearts; end the violence of the wicked and make the righteous secure. My shield is God Most High, who saves the upright in heart. God is a righteous judge, feeling anger every day.;Don't tear your clothing in your grief, but tear your hearts instead. Return to the Lord your God, for He is mercy and compassion, slow to anger, filled with unfailing love. (He is eager to relent!)",Psalm 7:9-11;Joel 2:13,The Word of God,4
16,Of What Use Are the Ten Commandments?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%204-%20The%20Word%20of%20God%20-%2016%20Of%20What%20Use%20Are%20the%20Ten%20Commandments-.m4a,of_what_use_are_the_ten_commandments,Of what use are the Ten Commandments?,"They teach us our duty to God and our duty to man, and they show us our need for a Savior.","Things revealed are yours and mine and our children's forever, so that we may follow in the words of the law.",Deuteronomy 29:29,The Word of God,4
